Timestamp,electricity_demand_kW,heat_demand_kW
2023-01-01 00:00:00,813.504,1464.3072
2023-01-01 01:00:00,871.104,1567.9872
2023-01-01 02:00:00,814.976,1466.9568
2023-01-01 03:00:00,871.104,1567.9872
2023-01-01 04:00:00,813.504,1464.3072
2023-01-01 05:00:00,871.104,1567.9872
2023-01-01 06:00:00,816.512,1469.7216
2023-01-01 07:00:00,874.112,1573.4016
2023-01-01 08:00:00,761.024,1369.8432
2023-01-01 09:00:00,854.08,1537.344
2023-01-01 10:00:00,1038.4,1869.12
2023-01-01 11:00:00,1092.992,1967.3856
2023-01-01 12:00:00,785.984,1414.7712
2023-01-01 13:00:00,842.112,1515.8016
2023-01-01 14:00:00,1029.376,1852.8768
2023-01-01 15:00:00,1086.976,1956.5568
2023-01-01 16:00:00,832.512,1498.5216
2023-01-01 17:00:00,851.584,1532.8512
2023-01-01 18:00:00,793.984,1429.1712
2023-01-01 19:00:00,853.12,1535.616
2023-01-01 20:00:00,795.52,1431.936
2023-01-01 21:00:00,854.592,1538.2656
2023-01-01 22:00:00,798.528,1437.3504
2023-01-01 23:00:00,857.6,1543.68
2023-01-02 00:00:00,800,1440
2023-01-02 01:00:00,859.072,1546.3296
2023-01-02 02:00:00,801.472,1442.6496
2023-01-02 03:00:00,859.072,1546.3296
2023-01-02 04:00:00,801.472,1442.6496
2023-01-02 05:00:00,859.072,1546.3296
2023-01-02 06:00:00,801.472,1442.6496
2023-01-02 07:00:00,857.6,1543.68
2023-01-02 08:00:00,748.992,1348.1856
2023-01-02 09:00:00,840.576,1513.0368
2023-01-02 10:00:00,1026.432,1847.5776
2023-01-02 11:00:00,1082.496,1948.4928
2023-01-02 12:00:00,777.024,1398.6432
2023-01-02 13:00:00,833.6,1500.48
2023-01-02 14:00:00,1023.424,1842.1632
2023-01-02 15:00:00,1082.496,1948.4928
2023-01-02 16:00:00,829.504,1493.1072
2023-01-02 17:00:00,848.576,1527.4368
2023-01-02 18:00:00,792.512,1426.5216
2023-01-02 19:00:00,851.584,1532.8512
2023-01-02 20:00:00,795.52,1431.936
2023-01-02 21:00:00,856.128,1541.0304
2023-01-02 22:00:00,798.528,1437.3504
2023-01-02 23:00:00,860.608,1549.0944
2023-01-03 00:00:00,801.472,1442.6496
2023-01-03 01:00:00,865.088,1557.1584
2023-01-03 02:00:00,801.472,1442.6496
2023-01-03 03:00:00,860.608,1549.0944
2023-01-03 04:00:00,803.008,1445.4144
2023-01-03 05:00:00,863.616,1554.5088
2023-01-03 06:00:00,809.024,1456.2432
2023-01-03 07:00:00,857.6,1543.68
2023-01-03 08:00:00,748.992,1348.1856
2023-01-03 09:00:00,805.12,1449.216
2023-01-03 10:00:00,944.384,1699.8912
2023-01-03 11:00:00,1001.984,1803.5712
2023-01-03 12:00:00,745.984,1342.7712
2023-01-03 13:00:00,803.584,1446.4512
2023-01-03 14:00:00,948.928,1708.0704
2023-01-03 15:00:00,1008,1814.4
2023-01-03 16:00:00,798.528,1437.3504
2023-01-03 17:00:00,851.584,1532.8512
2023-01-03 18:00:00,793.984,1429.1712
2023-01-03 19:00:00,851.584,1532.8512
2023-01-03 20:00:00,792.512,1426.5216
2023-01-03 21:00:00,851.584,1532.8512
2023-01-03 22:00:00,790.976,1423.7568
2023-01-03 23:00:00,848.576,1527.4368
2023-01-04 00:00:00,790.976,1423.7568
2023-01-04 01:00:00,848.576,1527.4368
2023-01-04 02:00:00,904.192,1627.5456
2023-01-04 03:00:00,848.576,1527.4368
2023-01-04 04:00:00,790.976,1423.7568
2023-01-04 05:00:00,963.136,1733.6448
2023-01-04 06:00:00,905.408,1629.7344
2023-01-04 07:00:00,965.888,1738.5984
2023-01-04 08:00:00,862.144,1551.8592
2023-01-04 09:00:00,919.744,1655.5392
2023-01-04 10:00:00,1069.184,1924.5312
2023-01-04 11:00:00,1126.784,2028.2112
2023-01-04 12:00:00,951.04,1711.872
2023-01-04 13:00:00,1012.928,1823.2704
2023-01-04 14:00:00,1153.728,2076.7104
2023-01-04 15:00:00,1219.968,2195.9424
2023-01-04 16:00:00,1011.968,1821.5424
2023-01-04 17:00:00,1069.568,1925.2224
2023-01-04 18:00:00,1011.968,1821.5424
2023-01-04 19:00:00,1065.216,1917.3888
2023-01-04 20:00:00,1011.968,1821.5424
2023-01-04 21:00:00,979.2,1762.56
2023-01-04 22:00:00,918.784,1653.8112
2023-01-04 23:00:00,964.864,1736.7552
2023-01-05 00:00:00,784,1411.2
2023-01-05 01:00:00,841.6,1514.88
2023-01-05 02:00:00,785.024,1413.0432
2023-01-05 03:00:00,844.096,1519.3728
2023-01-05 04:00:00,788.032,1418.4576
2023-01-05 05:00:00,847.104,1524.7872
2023-01-05 06:00:00,790.976,1423.7568
2023-01-05 07:00:00,850.112,1530.2016
2023-01-05 08:00:00,744.512,1340.1216
2023-01-05 09:00:00,842.112,1515.8016
2023-01-05 10:00:00,1032.384,1858.2912
2023-01-05 11:00:00,1088.512,1959.3216
2023-01-05 12:00:00,788.992,1420.1856
2023-01-05 13:00:00,842.112,1515.8016
2023-01-05 14:00:00,1033.92,1861.056
2023-01-05 15:00:00,1096,1972.8
2023-01-05 16:00:00,843.008,1517.4144
2023-01-05 17:00:00,862.08,1551.744
2023-01-05 18:00:00,806.016,1450.8288
2023-01-05 19:00:00,868.096,1562.5728
2023-01-05 20:00:00,812.032,1461.6576
2023-01-05 21:00:00,872.576,1570.6368
2023-01-05 22:00:00,816.512,1469.7216
2023-01-05 23:00:00,877.12,1578.816
2023-01-06 00:00:00,819.52,1475.136
2023-01-06 01:00:00,878.592,1581.4656
2023-01-06 02:00:00,820.992,1477.7856
2023-01-06 03:00:00,878.592,1581.4656
2023-01-06 04:00:00,820.992,1477.7856
2023-01-06 05:00:00,878.592,1581.4656
2023-01-06 06:00:00,820.992,1477.7856
2023-01-06 07:00:00,878.592,1581.4656
2023-01-06 08:00:00,774.528,1394.1504
2023-01-06 09:00:00,872.128,1569.8304
2023-01-06 10:00:00,1060.928,1909.6704
2023-01-06 11:00:00,1116.992,2010.5856
2023-01-06 12:00:00,812.992,1463.3856
2023-01-06 13:00:00,867.584,1561.6512
2023-01-06 14:00:00,1056.384,1901.4912
2023-01-06 15:00:00,1113.984,2005.1712
2023-01-06 16:00:00,859.52,1547.136
2023-01-06 17:00:00,878.592,1581.4656
2023-01-06 18:00:00,820.992,1477.7856
2023-01-06 19:00:00,880.128,1584.2304
2023-01-06 20:00:00,822.528,1480.5504
2023-01-06 21:00:00,880.128,1584.2304
2023-01-06 22:00:00,822.528,1480.5504
2023-01-06 23:00:00,886.08,1594.944
2023-01-07 00:00:00,824,1483.2
2023-01-07 01:00:00,881.6,1586.88
2023-01-07 02:00:00,822.528,1480.5504
2023-01-07 03:00:00,880.128,1584.2304
2023-01-07 04:00:00,820.992,1477.7856
2023-01-07 05:00:00,880.128,1584.2304
2023-01-07 06:00:00,820.992,1477.7856
2023-01-07 07:00:00,877.12,1578.816
2023-01-07 08:00:00,769.984,1385.9712
2023-01-07 09:00:00,866.112,1559.0016
2023-01-07 10:00:00,1051.904,1893.4272
2023-01-07 11:00:00,1110.976,1999.7568
2023-01-07 12:00:00,805.504,1449.9072
2023-01-07 13:00:00,863.104,1553.5872
2023-01-07 14:00:00,1059.392,1906.9056
2023-01-07 15:00:00,1116.992,2010.5856
2023-01-07 16:00:00,862.528,1552.5504
2023-01-07 17:00:00,883.072,1589.5296
2023-01-07 18:00:00,828.48,1491.264
2023-01-07 19:00:00,890.624,1603.1232
2023-01-07 20:00:00,834.496,1502.0928
2023-01-07 21:00:00,893.632,1608.5376
2023-01-07 22:00:00,837.504,1507.5072
2023-01-07 23:00:00,895.104,1611.1872
2023-01-08 00:00:00,838.976,1510.1568
2023-01-08 01:00:00,896.576,1613.8368
2023-01-08 02:00:00,838.976,1510.1568
2023-01-08 03:00:00,898.112,1616.6016
2023-01-08 04:00:00,838.976,1510.1568
2023-01-08 05:00:00,896.576,1613.8368
2023-01-08 06:00:00,838.976,1510.1568
2023-01-08 07:00:00,895.104,1611.1872
2023-01-08 08:00:00,785.024,1413.0432
2023-01-08 09:00:00,878.08,1580.544
2023-01-08 10:00:00,1063.872,1914.9696
2023-01-08 11:00:00,1118.528,2013.3504
2023-01-08 12:00:00,812.992,1463.3856
2023-01-08 13:00:00,869.12,1564.416
2023-01-08 14:00:00,1057.92,1904.256
2023-01-08 15:00:00,1116.992,2010.5856
2023-01-08 16:00:00,862.528,1552.5504
2023-01-08 17:00:00,883.072,1589.5296
2023-01-08 18:00:00,827.008,1488.6144
2023-01-08 19:00:00,884.608,1592.2944
2023-01-08 20:00:00,827.008,1488.6144
2023-01-08 21:00:00,886.08,1594.944
2023-01-08 22:00:00,825.472,1485.8496
2023-01-08 23:00:00,881.6,1586.88
2023-01-09 00:00:00,822.528,1480.5504
2023-01-09 01:00:00,878.592,1581.4656
2023-01-09 02:00:00,819.52,1475.136
2023-01-09 03:00:00,875.584,1576.0512
2023-01-09 04:00:00,814.976,1466.9568
2023-01-09 05:00:00,872.576,1570.6368
2023-01-09 06:00:00,812.032,1461.6576
2023-01-09 07:00:00,875.584,1576.0512
2023-01-09 08:00:00,769.984,1385.9712
2023-01-09 09:00:00,863.104,1553.5872
2023-01-09 10:00:00,1048.896,1888.0128
2023-01-09 11:00:00,1099.008,1978.2144
2023-01-09 12:00:00,795.008,1431.0144
2023-01-09 13:00:00,851.072,1531.9296
2023-01-09 14:00:00,1041.408,1874.5344
2023-01-09 15:00:00,1100.48,1980.864
2023-01-09 16:00:00,846.016,1522.8288
2023-01-09 17:00:00,863.616,1554.5088
2023-01-09 18:00:00,807.488,1453.4784
2023-01-09 19:00:00,866.624,1559.9232
2023-01-09 20:00:00,812.032,1461.6576
2023-01-09 21:00:00,871.104,1567.9872
2023-01-09 22:00:00,814.976,1466.9568
2023-01-09 23:00:00,875.584,1576.0512
2023-01-10 00:00:00,819.52,1475.136
2023-01-10 01:00:00,877.12,1578.816
2023-01-10 02:00:00,822.528,1480.5504
2023-01-10 03:00:00,881.6,1586.88
2023-01-10 04:00:00,825.472,1485.8496
2023-01-10 05:00:00,883.072,1589.5296
2023-01-10 06:00:00,827.008,1488.6144
2023-01-10 07:00:00,884.608,1592.2944
2023-01-10 08:00:00,777.472,1399.4496
2023-01-10 09:00:00,832.128,1497.8304
2023-01-10 10:00:00,971.392,1748.5056
2023-01-10 11:00:00,1027.52,1849.536
2023-01-10 12:00:00,769.984,1385.9712
2023-01-10 13:00:00,826.112,1487.0016
2023-01-10 14:00:00,965.376,1737.6768
2023-01-10 15:00:00,1024.512,1844.1216
2023-01-10 16:00:00,819.52,1475.136
2023-01-10 17:00:00,878.592,1581.4656
2023-01-10 18:00:00,822.528,1480.5504
2023-01-10 19:00:00,881.6,1586.88
2023-01-10 20:00:00,824,1483.2
2023-01-10 21:00:00,883.072,1589.5296
2023-01-10 22:00:00,827.008,1488.6144
2023-01-10 23:00:00,884.608,1592.2944
2023-01-11 00:00:00,825.472,1485.8496
2023-01-11 01:00:00,883.072,1589.5296
2023-01-11 02:00:00,824,1483.2
2023-01-11 03:00:00,881.6,1586.88
2023-01-11 04:00:00,824,1483.2
2023-01-11 05:00:00,880.128,1584.2304
2023-01-11 06:00:00,824,1483.2
2023-01-11 07:00:00,881.6,1586.88
2023-01-11 08:00:00,768.512,1383.3216
2023-01-11 09:00:00,823.104,1481.5872
2023-01-11 10:00:00,960.896,1729.6128
2023-01-11 11:00:00,1012.48,1822.464
2023-01-11 12:00:00,753.472,1356.2496
2023-01-11 13:00:00,803.584,1446.4512
2023-01-11 14:00:00,944.384,1699.8912
2023-01-11 15:00:00,1003.52,1806.336
2023-01-11 16:00:00,796.992,1434.5856
2023-01-11 17:00:00,854.592,1538.2656
2023-01-11 18:00:00,796.992,1434.5856
2023-01-11 19:00:00,854.592,1538.2656
2023-01-11 20:00:00,798.528,1437.3504
2023-01-11 21:00:00,857.6,1543.68
2023-01-11 22:00:00,798.528,1437.3504
2023-01-11 23:00:00,854.592,1538.2656
2023-01-12 00:00:00,798.528,1437.3504
2023-01-12 01:00:00,854.592,1538.2656
2023-01-12 02:00:00,795.52,1431.936
2023-01-12 03:00:00,856.128,1541.0304
2023-01-12 04:00:00,798.528,1437.3504
2023-01-12 05:00:00,854.592,1538.2656
